   Data from
     Borysow A, 2002, Collision-induced absorption coefficients
       of H2 pairs at temperatures from 60 K to 1000 K,
       Astron. Astrophys. 390, 779-782, doi: 10.1051/0004-6361:20020555
  
   No. temperatures:    7
   No. rows:         1649
   What follows was obtained in August 2011 from the link
     http://www.astro.ku.dk/~aborysow/programs/final_CIA_LT.dat

     CIA spectra of H2-H2 from 60 to 350K, in  cm^{-1}/amagat^{2}
     freq  60K       100K     150K       200K      250K      300K      350K
   (cm^-1) 
  2120.0 4.252E-10 1.087E-09 2.393E-09 4.580E-09 8.516E-09 1.527E-08 2.531E-08
  2130.0 4.034E-10 1.036E-09 2.294E-09 4.395E-09 8.159E-09 1.461E-08 2.424E-08
  2140.0 3.830E-10 9.876E-10 2.199E-09 4.216E-09 7.813E-09 1.398E-08 2.321E-08
  2150.0 3.636E-10 9.407E-10 2.106E-09 4.043E-09 7.480E-09 1.337E-08 2.221E-08
  2160.0 3.453E-10 8.956E-10 2.015E-09 3.875E-09 7.161E-09 1.279E-08 2.126E-08
  2170.0 3.281E-10 8.524E-10 1.928E-09 3.714E-09 6.856E-09 1.223E-08 2.036E-08
  2180.0 3.117E-10 8.110E-10 1.844E-09 3.559E-09 6.565E-09 1.171E-08 1.950E-08
  2190.0 2.963E-10 7.715E-10 1.762E-09 3.410E-09 6.288E-09 1.121E-08 1.868E-08
  2200.0 2.817E-10 7.339E-10 1.684E-09 3.266E-09 6.024E-09 1.074E-08 1.792E-08
  2210.0 2.679E-10 6.980E-10 1.608E-09 3.129E-09 5.773E-09 1.029E-08 1.719E-08
  2220.0 2.548E-10 6.639E-10 1.536E-09 2.997E-09 5.534E-09 9.874E-09 1.651E-08
  2230.0 2.424E-10 6.315E-10 1.467E-09 2.870E-09 5.308E-09 9.478E-09 1.586E-08
  2240.0 2.307E-10 6.007E-10 1.400E-09 2.749E-09 5.093E-09 9.103E-09 1.525E-08
  2250.0 2.195E-10 5.714E-10 1.337E-09 2.634E-09 4.888E-09 8.748E-09 1.468E-08
